name,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,skills,alignment,good,lawful,race,spells,weapons
292808,Noble,2018-07-08T15:46:26Z,Sorcerer 3,Sorcerer,Wild Magic,3,,18,10,8,10,14,14,14,15,Arcana|History|Insight|Persuasion,,N/A,N/A,Genasi,,Dagger
0420ee,Criminal,2018-07-09T22:35:14Z,Sorcerer 3,Sorcerer,Wild Magic,3,,22,13,8,16,15,8,8,17,Stealth|Insight|Deception|Persuasion,,N/A,N/A,Tiefling,Minor Illusion*0|Fire Bolt*0|Poison Spray*0|Friends*0|Mage Armor*1|Disguise Self*1|Scorching Ray*2|Suggestion*2,"Crossbow, Light|Dagger"
2c1c82,Far Traveler,2018-08-22T16:53:48Z,Warlock 3,Warlock,The Hexblade,3,Dual Wielder,18,16,12,16,11,10,10,16,Arcana|Investigation|Insight|Perception|Deception|Persuasion,Chaotic Good,G,C,,Eldritch Blast*0|Prestidigitation*0|Hex*1|Blur*2|Shadow Blade*2|Shatter*2,Dagger|Longsword|Sling
7b2273,Outlander,2018-08-26T21:07:31Z,Fighter 17|Barbarian 3,Fighter|Barbarian,Champion|Path of the Totem Warrior,20,Dual Wielder|Mobile|Tough,247,24,20,13,18,10,10,10,Athletics|Perception|Survival|Intimidation,,N/A,N/A,Goliath,,"Longsword|Crossbow, Light"
f8758a,Folk Hero,2018-08-27T22:44:32Z,Fighter 4,Fighter,Champion,4,Heavy Armor Master|Magic Initiate,36,18,18,14,14,10,10,10,Athletics|Animal Handling|Survival|Intimidation,Neutral Good,G,N,,Create Bonfire*0|Dancing Lights*0|Find Familiar*1,"Greatsword|Unarmed Strike|Crossbow, Heavy|Handaxe|Maul"
a7c234,Sailor,2018-07-29T13:36:53Z,Fighter 1,Fighter,,1,,13,15,12,17,16,10,18,7,Athletics|Animal Handling|Insight|Perception,,N/A,N/A,Firbolg,,"Scimitar|Crossbow, Light"
5bb250,Outlander,2018-06-01T03:07:21Z,Monk 10|Druid 5,Monk|Druid,Way of the Kensei|Circle of the Moon,15,,107,17,8,19,13,13,17,11,Athletics|Stealth|Nature|Perception|Survival,True Neutral,N,N,Elf,Druidcraft*0|Guidance*0|Mending*0|Poison Spray*0|Produce Flame*0|Resistance*0|Shillelagh*0|Thunderclap*0|Thorn Whip*0|Resistance*0|Mold Earth*0|Magic Stone*0|Gust*0|Frostbite*0|Goodberry*1|Cure Wounds*1|Ice Knife*1|Thunderwave*1|Entangle*1|Healing Word*1,Longbow|Blowgun
24c87f,Sailor,2018-06-02T07:52:13Z,Barbarian 4,Barbarian,Path of the Berserker,4,,61,19,20,16,18,14,13,14,Athletics|Nature|Perception|Intimidation,,N/A,N/A,Goliath,,Maul|Handaxe|Javelin|Warhammer
8e441f,Guild Artisan,2018-07-03T22:54:22Z,Monk 13,Monk,Way of the Drunken Master,13,Alert,69,19,8,20,13,10,18,10,Acrobatics|Stealth|Religion|Insight|Performance|Persuasion,,N/A,N/A,Human,,Shortsword|Dart|Unarmed Strike
2c1c82,Far Traveler,2018-08-19T23:01:01Z,Warlock 2,Warlock,The Hexblade,2,Dual Wielder,13,15,12,16,11,10,10,16,Arcana|Investigation|Insight|Perception|Deception|Persuasion,Chaotic Good,G,C,,Eldritch Blast*0|Prestidigitation*0|Expeditious Retreat*1|Hex*1|Shield*1,Handaxe|Dagger
7b2273,Outlander,2018-08-26T21:08:18Z,Fighter 17|Barbarian 3,Fighter|Barbarian,Champion|Path of the Totem Warrior,20,Dual Wielder|Mobile|Tough,247,24,20,13,18,10,10,10,Athletics|Perception|Survival|Intimidation,,N/A,N/A,Goliath,,"Longsword|Crossbow, Light"
2c1c82,Far Traveler,2018-08-19T22:45:18Z,Warlock 2,Warlock,The Hexblade,2,Dual Wielder,13,15,12,16,11,10,10,15,Arcana|Investigation|Insight|Perception,Chaotic Good,G,C,,Eldritch Blast*0|Prestidigitation*0|Expeditious Retreat*1|Hex*1|Shield*1,Handaxe|Dagger
e50ad8,Entertainer,2018-08-27T04:18:49Z,Bard 3|Warlock 2,Bard|Warlock,College of Glamour|The Archfey,5,,38,15,8,16,14,10,12,16,Acrobatics|Stealth|Insight|Perception|Deception|Performance|Persuasion,,N/A,N/A,Half-Elf,Eldritch Blast*0|Minor Illusion*0|Vicious Mockery*0|Friends*0|Dissonant Whispers*1|Faerie Fire*1|Healing Word*1|Armor of Agathys*1|Hex*1|TashaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Hideous Laughter*1|Heat Metal*2|Phantasmal Force*2|Silence*2,Rapier|Dagger
4f5fa9,Urban Bounty Hunter,2018-07-14T17:47:44Z,Rogue 12,Rogue,Swashbuckler,12,,99,16,10,20,17,10,13,18,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception,,N/A,N/A,Half-Elf,,Rapier|Shortbow|Dagger
148dc9,Cloistered Scholar,2018-08-30T15:16:56Z,Wizard 7,Wizard,School of Illusion,7,,42,13,9,16,15,18,10,9,Arcana|History|Investigation|Insight,,N/A,N/A,Human,,Dagger
7bc425,Entertainer,2018-08-01T11:04:38Z,Cleric 1|Bard 3,Cleric|Bard,Life Domain|College of Lore,4,Magic Initiate,35,18,8,10,16,10,13,16,Acrobatics|Arcana|Investigation|Insight|Perception|Deception|Intimidation|Performance|Persuasion,,N/A,N/A,Human,Mending*0|Create Bonfire*0|Guidance*0|Spare the Dying*0|Toll the Dead*0|Minor Illusion*0|Mage Hand*0|Cure Wounds*1|Sanctuary*1|Purify Food and Drink*1|Goodberry*1|Thunderwave*1|Healing Word*1|Unseen Servant*1|Dissonant Whispers*1|Suggestion*2|Heat Metal*2,"Mace|Crossbow, Light"
08dec7,Outlander,2018-06-23T02:24:34Z,Fighter 15|Warlock 5,Fighter|Warlock,Champion|The Hexblade,20,Great Weapon Master|Lucky,155,16,20,10,15,8,12,20,Athletics|Perception|Survival|Intimidation,,N/A,N/A,Dragonborn,Chill Touch*0|Eldritch Blast*0|Mage Hand*0|Hex*1|Shield*1|Hellish Rebuke*1|Darkness*2|Spider Climb*2|Fly*3,"Greatsword|Crossbow, Light"
2f9582,Urban Bounty Hunter,2018-06-24T18:41:03Z,Fighter 1,Fighter,,1,,9,16,15,10,13,10,10,14,Perception|Survival|Deception|Intimidation|Persuasion,Chaotic Good,G,C,Half-Orc,,"Crossbow, Light|Lance"
62c3d6,Acolyte,2018-05-27T23:21:59Z,Cleric 10,Cleric,Grave Domain,10,,73,18,8,18,14,10,18,10,Stealth|History|Religion|Insight|Medicine|Deception,,N/A,N/A,Kenku,Spare the Dying*0|Guidance*0|Light*0|Sacred Flame*0|Word of Radiance*0|Thaumaturgy*0|Bane*1|False Life*1|Guiding Bolt*1|Bless*1|Gentle Repose*2|Ray of Enfeeblement*2|Spiritual Weapon*2|Revivify*3|Vampiric Touch*3|Spirit Guardians*3|Mass Healing Word*3|Animate Dead*3|Dispel Magic*3|Sending*3|Speak with Dead*3|Glyph of Warding*3|Blight*4|Death Ward*4|Banishment*4|Divination*4|Antilife Shell*5|Raise Dead*5|Mass Cure Wounds*5|Holy Weapon*5,"Mace|Crossbow, Light"
297710,Charlatan,2018-07-21T17:51:57Z,Bard 4,Bard,College of Lore,4,,39,14,8,16,14,10,12,17,Sleight of Hand|Arcana|Animal Handling|Insight|Perception|Deception|Performance|Persuasion,Chaotic Neutral,N,C,Halfling,,Quarterstaff|Dagger
04be37,Sailor,2018-06-27T15:26:47Z,Wizard 3,Wizard,School of Conjuration,3,,24,13,15,16,14,12,10,8,Athletics|Investigation|Insight|Perception,,N/A,N/A,Elf,,Dagger
93c17c,Urchin,2018-08-06T03:45:54Z,Rogue 1|Cleric 1|Bard 18,Rogue|Cleric|Bard,Knowledge Domain|College of Lore,20,Skilled|Prodigy|Alert,200,15,12,18,14,15,15,18,Athletics|Acrobatics|Sleight of Hand|Stealth|Arcana|History|Investigation|Nature|Religion|Animal Handling|Insight|Medicine|Perception|Survival|Deception|Intimidation|Performance|Persuasion,,N/A,N/A,Half-Elf,Command*1|Identify*1,Rapier|Shortbow|Dagger
0e3614,Charlatan,2018-08-27T12:45:03Z,Warlock 2|Sorcerer 2,Warlock|Sorcerer,The Fiend|Divine Soul,4,,35,12,10,13,14,9,12,17,Sleight of Hand|Arcana|Investigation|Deception,,N/A,N/A,Tiefling,Inflict Wounds*1,"Crossbow, Light|Dagger"
8080ea,Caravan Specialist,2018-07-25T22:36:17Z,Wizard 5,Wizard,School of Evocation,5,Magic Initiate,32,12,13,14,14,16,10,8,Arcana|Investigation|Animal Handling|Survival,Chaotic Neutral,N,C,Genasi,Control Flames*0|Fire Bolt*0|Frostbite*0|Mending*0|Mold Earth*0|Poison Spray*0|Produce Flame*0|Alarm*1|Comprehend Languages*1|Detect Magic*1|Identify*1|Magic Missile*1|Thunderwave*1|TenserÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Floating Disk*1|Chromatic Orb*1|Mage Armor*1|Pyrotechnics*2|Mirror Image*2|Scorching Ray*2|Shatter*2|Fireball*3|LeomundÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Tiny Hut*3,Dagger
d63bef,Far Traveler,2018-09-04T07:26:17Z,Cleric 3,Cleric,Grave Domain,3,,30,18,13,16,14,10,18,12,Religion|Insight|Medicine|Perception,,N/A,N/A,Elf,Spare the Dying*0|Bane*1|False Life*1|Gentle Repose*2|Ray of Enfeeblement*2,Shortbow|Shortsword|Dagger
8e6a6b,Soldier,2018-08-02T05:14:39Z,Paladin 4,Paladin,Oath of Vengeance,4,Polearm Master|Great Weapon Master,36,16,16,10,14,8,8,16,Athletics|Insight|Perception|Intimidation|Persuasion,Lawful Neutral,N,L,Human,Bane*1|HunterÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Mark*1,Glaive|Halberd|Javelin
59b333,Soldier,2018-08-03T02:00:18Z,Paladin 4,Paladin,Oath of Vengeance,4,Polearm Master|Sentinel,36,17,16,10,14,8,8,16,Athletics|Insight|Perception|Intimidation|Persuasion,Lawful Neutral,N,L,Human,Bane*1|HunterÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Mark*1|Bless*1|Ceremony*1|Command*1|Compelled Duel*1|Cure Wounds*1|Detect Evil and Good*1|Detect Magic*1|Detect Poison and Disease*1|Divine Favor*1|Heroism*1|Protection from Evil and Good*1|Purify Food and Drink*1|Searing Smite*1|Shield of Faith*1|Thunderous Smite*1|Wrathful Smite*1,Glaive|Greatsword|Javelin
392076,Criminal,2018-05-29T20:42:56Z,Bard 1,Bard,,1,,7,12,8,13,8,15,12,17,Stealth|History|Insight|Deception|Performance,,N/A,N/A,Halfling,,Longsword|Dagger
bfa485,Charlatan,2018-08-07T05:26:52Z,Monk 3,Monk,Way of the Kensei,3,Prodigy,24,18,14,18,15,9,18,14,Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Deception,Neutral Evil,E,N,Human,,Dart|Unarmed Strike|Whip
96624f,Acolyte,2018-05-30T16:14:01Z,Cleric 6,Cleric,Tempest Domain,6,Great Weapon Master,45,20,16,13,14,9,14,10,Religion|Insight|Medicine|Intimidation|Persuasion,Chaotic Good,G,C,Half-Orc,Light*0|Sacred Flame*0|Fog Cloud*1|Thunderwave*1|Command*1|Cure Wounds*1|Healing Word*1|Inflict Wounds*1|Gust of Wind*2|Shatter*2|Prayer of Healing*2|Hold Person*2|Prayer of Healing*2|Call Lightning*3|Sleet Storm*3|Mass Healing Word*3|Spirit Guardians*3|Tongues*3,Warhammer|Javelin
21ef24,Mercenary Veteran,2018-05-28T02:18:31Z,Barbarian 3,Barbarian,Path of the Battlerager,3,,35,17,16,12,17,10,10,9,Athletics|Animal Handling|Perception|Persuasion,,N/A,N/A,Dwarf,,Greataxe|Handaxe|Javelin
17c920,Inventor,2018-05-27T23:07:41Z,Wizard 6,Wizard,School of Transmutation,6,War Caster,37,13,8,16,13,18,12,8,Arcana|Investigation|Religion|Insight|Medicine,Neutral Good,G,N,Human,,Quarterstaff
1979eb,Barbarian Tribe Member,2018-07-24T07:53:47Z,Paladin 1,Paladin,,1,,11,18,18,11,13,10,9,16,Athletics|Insight|Survival|Intimidation|Persuasion,,N/A,N/A,Half-Orc,,Greatsword|Javelin
5b7eb1,Urban Bounty Hunter,2018-08-01T16:42:24Z,Ranger 4,Ranger,Hunter,4,,28,14,10,16,10,12,14,16,Athletics|Stealth|Investigation|Insight|Perception|Deception,Chaotic Neutral,N,C,Elf,Dancing Lights*0|HunterÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Mark*1|Cure Wounds*1|Faerie Fire*1|Hail of Thorns*1,Shortsword|Longbow
98ee51,Haunted One,2018-06-02T23:03:35Z,Warlock 1,Warlock,The Great Old One,1,,9,11,8,10,12,14,14,17,Arcana|Investigation|Deception|Intimidation,Chaotic Neutral,N,C,Tiefling,,Dart|Dagger
b09fcb,Pirate,2018-08-12T19:33:09Z,Bard 1,Bard,,1,,9,13,11,15,13,8,12,17,Athletics|Sleight of Hand|Perception|Deception|Intimidation|Performance|Persuasion,,N/A,N/A,Half-Elf,Minor Illusion*0|Vicious Mockery*0|Faerie Fire*1|Dissonant Whispers*1|Healing Word*1|TashaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Hideous Laughter*1,Rapier|Dagger
be4de2,Noble,2018-07-09T15:23:12Z,Bard 4,Bard,College of Whispers,4,Prodigy,31,12,12,13,14,14,14,14,History|Insight|Medicine|Perception|Performance|Persuasion,,N/A,N/A,Human,Mending*0|Vicious Mockery*0|Friends*0|Cure Wounds*1|Healing Word*1|Sleep*1|TashaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Hideous Laughter*1|Shatter*2|Locate Object*2|Heat Metal*2,Rapier|Dagger
b2d598,Port City Noble,2018-07-09T14:29:17Z,Fighter 14,Fighter,Eldritch Knight,14,Skilled|Polearm Master|Fade Away|Linguist|Squat Nimbleness,88,16,19,15,10,19,14,10,Acrobatics|Arcana|History|Nature|Religion|Insight|Survival|Persuasion,,N/A,N/A,Gnome,True Strike*0|Shape Water*0|Prestidigitation*0|Shield*1|Thunderwave*1|Identify*1|Comprehend Languages*1|Misty Step*2|See Invisibility*2|Haste*3|Fireball*3|Counterspell*3,Trident
4bc2d4,Urban Bounty Hunter,2018-06-28T10:43:56Z,Fighter 2|Monk 2,Fighter|Monk,,4,,30,16,8,17,12,10,15,12,Acrobatics|Stealth|Insight|Perception,,N/A,N/A,Halfling,,Longbow|Whip|Handaxe
89dbe6,Folk Hero,2018-06-28T23:07:45Z,Wizard 4,Wizard,School of Evocation,4,,30,12,10,14,16,18,11,10,Arcana|Animal Handling|Insight|Survival,,N/A,N/A,Human,,Quarterstaff
228f96,Hermit,2018-06-30T15:06:31Z,Sorcerer 3|Monk 2,Sorcerer|Monk,Shadow Magic,5,,49,13,13,15,16,12,13,17,Religion|Medicine|Deception|Persuasion,,N/A,N/A,Triton,Darkness*2,Quarterstaff|Dagger|Unarmed Strike
048669,Miner,2018-06-23T19:32:07Z,Warlock 1,Warlock,The Fiend,1,,9,13,9,14,13,6,15,17,Arcana|Animal Handling|Survival|Deception,,N/A,N/A,Kobold,,Dart|Handaxe|Dagger
91446d,Hermit,2018-06-23T19:41:37Z,Druid 1,Druid,,1,,9,11,15,10,12,16,15,13,Nature|Religion|Animal Handling|Medicine,,N/A,N/A,Gnome,,Quarterstaff|Scimitar
c7f3ab,City Watch,2018-06-23T19:27:12Z,Fighter 1,Fighter,,1,Dual Wielder,11,16,11,18,13,10,14,16,Athletics|Stealth|Insight|Perception|Intimidation,,N/A,N/A,Human,,Longbow|Shortsword|Handaxe
59db07,Urban Vigilante,2018-06-23T19:27:37Z,Ranger 1,Ranger,,1,,11,16,8,16,12,12,18,13,Athletics|Stealth|Investigation|Insight|Perception|Survival|Deception,,N/A,N/A,Lizardfolk,,Shortsword|Longbow
eee419,Criminal,2018-07-01T09:41:30Z,Rogue 4|Ranger 2,Rogue|Ranger,Scout,6,Elven Accuracy,72,16,8,18,19,14,14,10,Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Nature|Insight|Perception|Survival|Deception,Chaotic Neutral,N,C,Elf,Zephyr Strike*1|HunterÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Mark*1,Longbow|Rapier|Shortsword|Dagger
4ccc70,Soldier,2018-08-12T17:56:37Z,Fighter 6,Fighter,Samurai,6,Polearm Master|Heavily Armored,68,17,20,12,18,10,14,7,Athletics|Insight|Perception|Survival|Intimidation,Lawful Neutral,N,L,Goliath,,"Glaive|Crossbow, Heavy|Crossbow, Light"
642873,Cloistered Scholar,2018-08-12T17:56:09Z,Paladin 1,Paladin,,1,,11,18,14,12,12,13,16,20,Arcana|History|Religion|Persuasion,,N/A,N/A,Aasimar,,Morningstar|Javelin
f04c3d,Clan Hero,2018-06-24T02:19:02Z,Monk 3,Monk,Way of the Sun Soul,3,,30,14,15,17,16,9,12,11,Athletics|Acrobatics|History|Insight|Intimidation,True Neutral,N,N,Goliath,,Spear|Dart|Unarmed Strike
d2bd0f,Soldier,2018-07-05T00:52:10Z,Cleric 2,Cleric,Life Domain,2,,17,17,14,13,16,10,16,14,Athletics|Religion|Insight|Intimidation,Neutral Good,G,N,Dwarf,Light*0|Sacred Flame*0|Thaumaturgy*0|Bless*1|Cure Wounds*1,Warhammer|Handaxe
58f1cc,Hermit,2018-07-03T23:12:24Z,Monk 2,Monk,,2,,15,15,10,16,13,10,14,15,Athletics|Stealth|Religion|Insight|Medicine|Perception,Chaotic Good,G,C,Tabaxi,,Dart|Unarmed Strike|Spear
f3ff2e,Hermit,2018-06-19T10:10:16Z,Ranger 3,Ranger,Hunter,3,,25,16,8,16,13,14,14,10,Investigation|Religion|Medicine|Perception|Survival,,N/A,N/A,Gnome,,Shortsword|Longbow
cb1021,Far Traveler,2018-07-27T01:36:48Z,Wizard 3,Wizard,School of Abjuration,3,,17,14,10,19,13,18,10,13,Arcana|Religion|Insight|Perception,,N/A,N/A,Elf,Fire Bolt*0|Ray of Frost*0|Mage Hand*0|Message*0|Magic Missile*1|Find Familiar*1|Shield*1|Mage Armor*1|Invisibility*2|AganazzarÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Scorcher*2,Dagger
40ca29,Sailor,2018-05-28T02:42:33Z,Ranger 1,Ranger,,1,,11,14,12,17,12,10,15,8,Athletics|Stealth|Animal Handling|Perception|Survival,,N/A,N/A,Elf,,Shortsword|Longbow
e7c832,Sailor,2018-06-01T22:58:22Z,Ranger 2,Ranger,,2,,18,14,12,17,12,10,15,8,Athletics|Stealth|Animal Handling|Perception|Survival,,N/A,N/A,Elf,,Longbow|Rapier
887860,Faction Agent,2018-06-14T19:19:16Z,Cleric 5,Cleric,Arcana Domain,5,Magic Initiate,28,13,9,10,10,16,18,12,Arcana|History|Religion|Insight|Medicine|Persuasion,,N/A,N/A,Human,Mending*0|Guidance*0|Light*0|Detect Magic*1|Magic Missile*1|Guiding Bolt*1|Find Familiar*1|Magic Weapon*2|NystulÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Magic Aura*2|Dispel Magic*3|Magic Circle*3,"Mace|Crossbow, Light"
8dfba8,Cloistered Scholar,2018-06-26T19:23:24Z,Cleric 5,Cleric,Light Domain,5,,38,18,8,16,14,12,18,8,History|Religion|Insight|Medicine|Perception,,N/A,N/A,Elf,Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3,"Mace|Crossbow, Light"
72b41d,Cloistered Scholar,2018-06-27T17:34:49Z,Cleric 5,Cleric,Arcana Domain,5,Resilient,38,17,8,12,14,16,18,8,Arcana|History|Nature|Religion|Insight|Perception,,N/A,N/A,Human,Detect Magic*1|Magic Missile*1|Magic Weapon*2|NystulÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Magic Aura*2|Dispel Magic*3|Magic Circle*3,"Mace|Crossbow, Light"
721f6a,Far Traveler,2018-06-27T13:49:17Z,Warlock 5,Warlock,The Fiend,5,Flames of Phlegethos,33,11,8,10,12,14,14,18,Arcana|Insight|Perception|Intimidation,,N/A,N/A,Tiefling,,"Crossbow, Light|Dagger"
b09fcb,Pirate,2018-08-12T20:13:18Z,Bard 1,Bard,,1,,9,13,11,15,13,8,12,17,Athletics|Sleight of Hand|Perception|Deception|Intimidation|Performance|Persuasion,,N/A,N/A,Half-Elf,Minor Illusion*0|Vicious Mockery*0|Faerie Fire*1|Dissonant Whispers*1|Healing Word*1|TashaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Hideous Laughter*1,Rapier|Dagger
78ea59,Hermit,2018-06-13T03:14:45Z,Artificer 12|Rogue 8,Artificer|Rogue,Alchemist|Thief,20,,167,15,16,16,14,13,13,15,Stealth|Nature|Religion|Medicine|Perception|Deception|Persuasion,,N/A,N/A,Tabaxi,Identify*1|Detect Magic*1,"Handaxe|Spear|Crossbow, Light"
e8ccf7,Hermit,2018-09-02T17:16:15Z,Druid 4,Druid,Circle of the Moon,4,,37,14,13,12,16,10,18,8,Nature|Religion|Medicine|Perception,,N/A,N/A,Dwarf,Guidance*0,Club
335103,Hermit,2018-06-21T18:23:01Z,Cleric 7,Cleric,Tempest Domain,7,,68,11,15,10,19,10,12,18,History|Religion|Insight|Medicine,,N/A,N/A,Dwarf,Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3|Control Water*4|Ice Storm*4,"Crossbow, Light|Warhammer|Maul"
a9a61d,Criminal,2018-06-23T02:20:07Z,Druid 16,Druid,Circle of the Land,16,,153,14,10,12,18,13,20,10,Stealth|Nature|Animal Handling|Survival|Deception,,N/A,N/A,Tortle,Barkskin*2|Spider Climb*2|Call Lightning*3|Plant Growth*3|Divination*4|Freedom of Movement*4|Commune with Nature*5|Tree Stride*5,Scimitar
cb9242,Criminal,2018-06-23T03:10:32Z,Sorcerer 16,Sorcerer,Wild Magic,16,Lucky,104,13,8,17,14,12,10,20,Stealth|Arcana|Deception|Intimidation,,N/A,N/A,Goblin,,Quarterstaff|Dagger
2b842f,Mercenary Veteran,2018-06-24T17:25:13Z,Fighter 16,Fighter,Champion,16,,164,16,20,16,18,12,12,9,Athletics|Acrobatics|Insight|Perception|Survival|Persuasion,,N/A,N/A,Lizardfolk,,Greatsword|Warhammer
c2b45f,Soldier,2018-09-05T14:13:57Z,Paladin 1,Paladin,,1,,9,18,13,13,13,16,13,9,Athletics|Stealth|Religion|Insight|Survival|Intimidation,,N/A,N/A,Lizardfolk,,Lance|Javelin
b26722,Custom,2018-08-20T18:34:19Z,Paladin 8|Sorcerer 2,Paladin|Sorcerer,Oath of Ancients|Storm Sorcery,10,Sentinel,91,22,18,12,14,10,10,14,Athletics|Insight|Perception|Intimidation,,N/A,N/A,Dragonborn,Fire Bolt*0|Thunderclap*0|Bless*1|Cure Wounds*1|Ensnaring Strike*1|Shield*1|Absorb Elements*1|Moonbeam*2|Misty Step*2,"Battleaxe|Javelin|Crossbow, Light"
67dd8d,Folk Hero,2018-08-17T18:44:40Z,Fighter 2,Fighter,,2,,20,15,12,15,10,13,14,11,Athletics|Acrobatics|Animal Handling|Survival,,N/A,N/A,Firbolg,,
82fd6d,Outlander,2018-06-02T01:54:15Z,Warlock 5,Warlock,The Great Old One,5,Alert,33,11,8,10,13,12,15,19,Athletics|Arcana|Survival|Deception,,N/A,N/A,Aasimar,,"Crossbow, Light|Dagger"
d4d2cf,Sailor,2018-06-02T00:38:16Z,Bard 5,Bard,College of Valor,5,,36,13,12,15,15,10,10,20,Athletics|Perception|Deception|Intimidation|Persuasion,,N/A,N/A,Triton,,Rapier|Dagger
71e2db,Urban Bounty Hunter,2018-06-10T03:24:01Z,Fighter 5|Warlock 1,Fighter|Warlock,Battle Master|The Hexblade,6,Crossbow Expert,57,16,8,18,16,8,12,13,Acrobatics|Stealth|Insight|Perception|Survival,Chaotic Neutral,N,C,Human,Friends*0|Mage Hand*0|Shield*1|Hex*1,"Crossbow, hand|Crossbow, Heavy|Crossbow, Light"
14de14,Clan Crafter,2018-08-25T02:27:15Z,Cleric 1,Cleric,Life Domain,1,,12,17,14,8,16,12,16,8,Athletics|History|Insight|Perception,,N/A,N/A,Dwarf,Bless*1|Cure Wounds*1,Warhammer|Handaxe
856b98,Sailor,2018-07-04T17:30:18Z,Barbarian 1,Barbarian,,1,,13,12,13,13,13,8,10,9,Athletics|Perception|Survival|Intimidation,,N/A,N/A,Human,,Warhammer|Handaxe|Javelin
067b7c,Port City Noble,2018-07-04T17:24:25Z,Warlock 1,Warlock,The Great Old One,1,,10,9,8,8,14,10,10,18,History|Investigation|Religion|Persuasion,,N/A,N/A,Human,Magic Stone*0|Blade Ward*0|Arms of Hadar*1|Protection from Evil and Good*1,Club|Dagger
458a02,Hermit,2018-08-23T22:43:16Z,Monk 10,Monk,Way of the Sun Soul,10,Sentinel,63,18,8,20,13,8,16,6,Acrobatics|Stealth|Religion|Insight|Medicine,True Neutral,N,N,,,Unarmed Strike
048669,Miner,2018-06-23T19:26:28Z,Warlock 1,Warlock,The Fiend,1,,9,13,9,14,13,6,15,17,Arcana|Animal Handling|Survival|Deception,,N/A,N/A,Kobold,,Dart|Handaxe|Dagger
de0c4e,Urban Bounty Hunter,2018-08-09T11:06:23Z,Rogue 5|Fighter 2,Rogue|Fighter,Swashbuckler,7,,40,17,19,18,10,8,8,12,Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Intimidation|Persuasion,Chaotic Good,G,C,Half-Orc,,Rapier|Shortbow|Dagger
21ef24,Mercenary Veteran,2018-05-28T02:18:11Z,Barbarian 3,Barbarian,Path of the Battlerager,3,,35,17,16,12,17,10,10,9,Athletics|Animal Handling|Perception|Persuasion,,N/A,N/A,Dwarf,,Greataxe|Handaxe|Javelin
7897b9,Criminal,2018-06-24T11:04:20Z,Barbarian 3,Barbarian,Path of the Berserker,3,,32,15,20,16,15,13,13,13,Athletics|Stealth|Deception|Intimidation,,N/A,N/A,Dragonborn,,Greataxe|Handaxe|Javelin
17b862,Soldier,2018-09-02T03:04:31Z,Fighter 1,Fighter,,1,,14,18,20,12,18,9,15,13,Athletics|Animal Handling|Survival|Intimidation,,N/A,N/A,Dwarf,,Warhammer
77ae02,Hermit,2018-07-24T22:50:50Z,Ranger 4|Rogue 1,Ranger|Rogue,Hunter,5,Sharpshooter,33,14,11,16,10,9,14,7,Acrobatics|Stealth|Investigation|Religion|Medicine|Perception,Neutral Good,G,N,Halfling,HunterÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Mark*1,Shortsword|Longbow
fcbd82,Criminal,2018-06-23T02:17:24Z,Rogue 5,Rogue,Assassin,5,,50,15,12,19,14,10,14,8,Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Persuasion,,N/A,N/A,Goblin,,Shortsword|Shortbow|Dagger
c62099,Folk Hero,2018-07-03T15:39:05Z,Monk 2,Monk,,2,,20,20,11,18,14,11,16,11,Athletics|Acrobatics|Animal Handling|Survival,Chaotic Neutral,N,C,Tortle,,Dart|Unarmed Strike
c1abcd,Urban Bounty Hunter,2018-06-15T01:08:47Z,Rogue 7,Rogue,Arcane Trickster,7,Elemental Adept,54,14,17,17,15,10,14,17,Acrobatics|Sleight of Hand|Stealth|Perception|Persuasion,,N/A,N/A,Dragonborn,Shield*1,Rapier|Shortbow|Dagger
f1414c,Hermit,2018-05-25T17:11:39Z,Monk 3,Monk,Way of the Open Hand,3,,27,15,13,16,14,9,15,11,Athletics|Acrobatics|Religion|Medicine,Neutral Good,G,N,Human,,Quarterstaff|Dart|Unarmed Strike
